periodo_creacion_seguimiento_comercial,mnt_oportunidad,periodo,evento,leads_cv,periodo_1,recuento
2023-01-01,189.9,,,,,
2023-03-01,8050.13,,,,,
2023-04-01,7042.13,,,,,
2023-05-01,22105.56,,,,,
2023-06-01,26598.03,,,,,
2023-07-01,34145.36,,,,,
2023-08-01,37058.13,,,,,
2023-09-01,53079,,,,,
2023-10-01,56841.5,,,,,
2023-11-01,67833.15,,,,,
2023-12-01,38201.15,,,,,
2024-01-01,93752.98,,,,2024-01-01,6626198
2024-02-01,47660.33,2024-02-01,Compra de Vehículo,287754,2024-02-01,6627343
2024-03-01,81730.6,2024-03-01,Compra de Vehículo,298532,2024-03-01,6627582
2024-04-01,58994.72,2024-04-01,Compra de Vehículo,316504,2024-04-01,6868792
2024-05-01,58385.58,2024-05-01,Compra de Vehículo,328970,2024-05-01,6870259
2024-06-01,104517.25,2024-06-01,Compra de Vehículo,343354,2024-06-01,6872100
2024-07-01,135346.68,2024-07-01,Compra de Vehículo,354971,2024-07-01,6964467
2024-08-01,59149.51,2024-08-01,Compra de Vehículo,364916,2024-08-01,6962194
2024-09-01,67085.39,2024-09-01,Compra de Vehículo,373554,2024-09-01,7061106
2024-10-01,338859.63,2024-10-01,Compra de Vehículo,3989074,2024-10-01,7060105
2024-11-01,370935.09,2024-11-01,Compra de Vehículo,566318,2024-11-01,7065340
2024-12-01,479462.97,2024-12-01,Compra de Vehículo,1263695,2024-12-01,7147634
2025-01-01,466440.37,2025-01-01,Compra de Vehículo,1276305,2025-01-01,7150276
2025-02-01,113067.84,2025-02-01,Compra de Vehículo,1483534,2025-02-01,7145230
