epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.278,1.96281,4.21421,1.69077,0.00113,0.86822,0.05623,0.01502,1.94139,7.44802,1.74864,0.000654321,0.000654321,0.000654321
2,695.631,1.99351,3.58137,1.74453,0.13314,0.10853,0.05556,0.01544,2.24013,6.63631,2.23022,0.00129483,0.00129483,0.00129483
3,1061.03,2.18835,3.45374,1.87432,0.09594,0.11628,0.03087,0.00962,2.44614,12.7148,2.50011,0.00190894,0.00190894,0.00190894
4,1454.69,2.23094,3.14559,1.92562,0.07651,0.11628,0.02121,0.00593,2.59668,4.78264,2.44276,0.0018812,0.0018812,0.0018812
5,1883.26,2.21188,2.87181,1.97122,0.11146,0.21705,0.06165,0.01517,2.51817,12.7814,2.28777,0.0018416,0.0018416,0.0018416
6,2233.08,2.18671,2.62723,1.90602,0.17807,0.33333,0.12495,0.04249,2.20586,7.16214,2.09824,0.001802,0.001802,0.001802
7,2776.85,2.05975,2.33305,1.78128,0.20976,0.31783,0.13956,0.05001,2.28732,3.17564,2.0709,0.0017624,0.0017624,0.0017624
8,3142.79,2.07098,2.33986,1.81844,0.19962,0.25522,0.11076,0.03978,2.32538,4.76335,2.08683,0.0017228,0.0017228,0.0017228
9,3614.94,2.06719,2.21817,1.78583,0.27389,0.39535,0.18406,0.0553,2.17485,3.64595,2.01981,0.0016832,0.0016832,0.0016832
10,4145.79,1.96766,2.12232,1.72526,0.23872,0.4186,0.15484,0.05397,2.1685,3.86098,1.95962,0.0016436,0.0016436,0.0016436
11,4534.52,1.93444,2.10789,1.73546,0.27442,0.24031,0.14428,0.0559,2.16035,4.02677,1.93965,0.001604,0.001604,0.001604
12,4920.43,1.96054,2.08288,1.71334,0.28712,0.36434,0.19547,0.07026,2.10334,2.89752,1.95744,0.0015644,0.0015644,0.0015644
13,5299.78,1.91234,1.93805,1.69986,0.22849,0.36434,0.15948,0.05259,2.14935,3.20056,1.89866,0.0015248,0.0015248,0.0015248
14,5680.68,1.83503,1.88183,1.66689,0.26398,0.3876,0.17489,0.06037,2.143,3.0329,1.89612,0.0014852,0.0014852,0.0014852
